20190921_122625_954	Script filename: '/usr/src/Robot/Robots/Rover/scripts/forwardback01.sh'
20190921_122625_954	MOTOR_FORWARD_BACK	-10	1000
20190921_122626_454	MOTOR_LEFT_RIGHT	-16	500
20190921_122626_954	MOTOR_FORWARD_BACK	10	1000
20190921_122627_954	MOTOR_FORWARD_BACK	-10	1000
20190921_122628_454	MOTOR_LEFT_RIGHT	-16	500
20190921_122628_954	MOTOR_FORWARD_BACK	10	1000
20190921_122629_954	MOTOR_FORWARD_BACK	-10	1000
20190921_122630_454	MOTOR_LEFT_RIGHT	-16	500
20190921_122630_954	MOTOR_FORWARD_BACK	10	1000
20190921_122631_954	MOTOR_FORWARD_BACK	-10	1000
20190921_122632_454	MOTOR_LEFT_RIGHT	-16	500
20190921_122632_954	MOTOR_FORWARD_BACK	10	1000
20190921_122633_954	MOTOR_FORWARD_BACK	-10	1000
20190921_122634_454	MOTOR_LEFT_RIGHT	-16	500
20190921_122634_534	key=20 ( )
20190921_122634_954	MOTOR_FORWARD_BACK	10	1000
20190921_122635_964	MOTOR_FORWARD_BACK	-10	1000
20190921_122636_454	MOTOR_LEFT_RIGHT	16	500
20190921_122636_954	MOTOR_FORWARD_BACK	10	1000
20190921_122637_954	MOTOR_FORWARD_BACK	-10	1000
20190921_122638_444	MOTOR_LEFT_RIGHT	16	500
20190921_122638_944	MOTOR_FORWARD_BACK	10	1000
20190921_122639_944	MOTOR_FORWARD_BACK	-10	1000
20190921_122640_434	MOTOR_LEFT_RIGHT	16	500
20190921_122640_934	MOTOR_FORWARD_BACK	10	1000
20190921_122641_934	MOTOR_FORWARD_BACK	-10	1000
20190921_122642_424	MOTOR_LEFT_RIGHT	16	500
20190921_122642_924	MOTOR_FORWARD_BACK	10	1000
20190921_122643_924	MOTOR_FORWARD_BACK	-10	1000
20190921_122643_944	key=20 ( )
20190921_122644_414	MOTOR_LEFT_RIGHT	16	500
20190921_122644_914	MOTOR_FORWARD_BACK	10	1000
