20191205_204355_465	Script filename: '/usr/src/Robot/Robots/Rover/scripts/forwardback01.sh'
20191205_204355_465	MOTOR_FORWARD_BACK	-10	1000
20191205_204355_965	MOTOR_LEFT_RIGHT	-16	500
20191205_204356_465	MOTOR_FORWARD_BACK	10	1000
20191205_204357_465	MOTOR_FORWARD_BACK	-10	1000
20191205_204357_965	MOTOR_LEFT_RIGHT	-16	500
20191205_204358_465	MOTOR_FORWARD_BACK	10	1000
20191205_204359_465	MOTOR_FORWARD_BACK	-10	1000
20191205_204359_965	MOTOR_LEFT_RIGHT	-16	500
20191205_204400_465	MOTOR_FORWARD_BACK	10	1000
20191205_204401_465	MOTOR_FORWARD_BACK	-10	1000
20191205_204401_965	MOTOR_LEFT_RIGHT	-16	500
20191205_204402_465	MOTOR_FORWARD_BACK	10	1000
20191205_204403_135	key=20 ( )
20191205_204403_475	MOTOR_FORWARD_BACK	-10	1000
20191205_204403_965	MOTOR_LEFT_RIGHT	16	500
20191205_204404_465	MOTOR_FORWARD_BACK	10	1000
20191205_204405_465	MOTOR_FORWARD_BACK	-10	1000
20191205_204405_955	MOTOR_LEFT_RIGHT	16	500
20191205_204406_455	MOTOR_FORWARD_BACK	10	1000
20191205_204407_315	key=20 ( )
