20190921_113558_585	Script filename: '/usr/src/Robot/Robots/Rover/scripts/forwardback01.sh'
20190921_113558_585	MOTOR_FORWARD_BACK	-10	1000
20190921_113559_085	MOTOR_LEFT_RIGHT	-16	500
20190921_113559_585	MOTOR_FORWARD_BACK	10	1000
20190921_113600_585	MOTOR_FORWARD_BACK	-10	1000
20190921_113601_085	MOTOR_LEFT_RIGHT	-16	500
20190921_113601_585	MOTOR_FORWARD_BACK	10	1000
20190921_113602_585	MOTOR_FORWARD_BACK	-10	1000
20190921_113603_085	MOTOR_LEFT_RIGHT	-16	500
20190921_113603_585	MOTOR_FORWARD_BACK	10	1000
20190921_113603_965	key=20 ( )
20190921_113604_585	MOTOR_FORWARD_BACK	-10	1000
20190921_113605_085	MOTOR_LEFT_RIGHT	16	500
20190921_113605_585	MOTOR_FORWARD_BACK	10	1000
20190921_113608_585	MOTOR_FORWARD_BACK	-10	1000
20190921_113609_085	MOTOR_LEFT_RIGHT	16	500
20190921_113609_585	MOTOR_FORWARD_BACK	10	1000
20190921_113612_585	MOTOR_FORWARD_BACK	-10	1000
20190921_113613_085	MOTOR_LEFT_RIGHT	16	500
20190921_113613_585	MOTOR_FORWARD_BACK	10	1000
20190921_113616_585	MOTOR_FORWARD_BACK	-10	1000
20190921_113617_085	MOTOR_LEFT_RIGHT	16	500
20190921_113617_585	MOTOR_FORWARD_BACK	10	1000
20190921_113618_895	key=20 ( )
20190921_113620_585	MOTOR_FORWARD_BACK	-10	1000
20190921_113621_085	MOTOR_LEFT_RIGHT	16	500
20190921_113621_585	MOTOR_FORWARD_BACK	10	1000
