20190921_123157_244	Script filename: '/usr/src/Robot/Robots/Rover/scripts/forwardback01.sh'
20190921_123157_245	MOTOR_FORWARD_BACK	-10	1000
20190921_123157_744	MOTOR_LEFT_RIGHT	-16	500
20190921_123158_244	MOTOR_FORWARD_BACK	10	1000
20190921_123159_244	MOTOR_FORWARD_BACK	-10	1000
20190921_123159_744	MOTOR_LEFT_RIGHT	-16	500
20190921_123200_244	MOTOR_FORWARD_BACK	10	1000
20190921_123200_384	key=20 ( )
20190921_123201_254	MOTOR_FORWARD_BACK	-10	1000
20190921_123201_744	MOTOR_LEFT_RIGHT	16	500
20190921_123202_244	MOTOR_FORWARD_BACK	10	1000
20190921_123203_244	MOTOR_FORWARD_BACK	-10	1000
20190921_123203_734	MOTOR_LEFT_RIGHT	16	500
20190921_123204_234	MOTOR_FORWARD_BACK	10	1000
20190921_123204_294	key=20 ( )
