20190921_114307_487	Script filename: '/usr/src/Robot/Robots/Rover/scripts/forwardback01.sh'
20190921_114307_487	MOTOR_FORWARD_BACK	-10	1000
20190921_114307_987	MOTOR_LEFT_RIGHT	-16	500
20190921_114308_487	MOTOR_FORWARD_BACK	10	1000
20190921_114309_487	MOTOR_FORWARD_BACK	-10	1000
20190921_114309_987	MOTOR_LEFT_RIGHT	-16	500
20190921_114310_487	MOTOR_FORWARD_BACK	10	1000
20190921_114311_487	MOTOR_FORWARD_BACK	-10	1000
20190921_114311_987	MOTOR_LEFT_RIGHT	-16	500
20190921_114312_487	MOTOR_FORWARD_BACK	10	1000
20190921_114313_487	MOTOR_FORWARD_BACK	-10	1000
20190921_114313_987	MOTOR_LEFT_RIGHT	-16	500
20190921_114314_487	MOTOR_FORWARD_BACK	10	1000
20190921_114315_487	MOTOR_FORWARD_BACK	-10	1000
20190921_114315_987	MOTOR_LEFT_RIGHT	-16	500
20190921_114316_487	MOTOR_FORWARD_BACK	10	1000
20190921_114317_487	MOTOR_FORWARD_BACK	-10	1000
20190921_114317_987	MOTOR_LEFT_RIGHT	-16	500
20190921_114318_487	MOTOR_FORWARD_BACK	10	1000
20190921_114319_487	MOTOR_FORWARD_BACK	-10	1000
20190921_114319_987	MOTOR_LEFT_RIGHT	-16	500
20190921_114320_487	MOTOR_FORWARD_BACK	10	1000
20190921_114320_667	key=20 ( )
20190921_114321_497	MOTOR_FORWARD_BACK	-10	1000
20190921_114321_987	MOTOR_LEFT_RIGHT	16	500
20190921_114322_487	MOTOR_FORWARD_BACK	10	1000
20190921_114325_497	MOTOR_FORWARD_BACK	-10	1000
20190921_114325_987	MOTOR_LEFT_RIGHT	16	500
20190921_114326_487	MOTOR_FORWARD_BACK	10	1000
20190921_114329_497	MOTOR_FORWARD_BACK	-10	1000
20190921_114329_987	MOTOR_LEFT_RIGHT	16	500
20190921_114330_487	MOTOR_FORWARD_BACK	10	1000
20190921_114333_497	MOTOR_FORWARD_BACK	-10	1000
20190921_114333_987	MOTOR_LEFT_RIGHT	16	500
20190921_114334_487	MOTOR_FORWARD_BACK	10	1000
20190921_114334_807	key=20 ( )
