20190921_111917_037	Script filename: '/usr/src/Robot/Robots/Rover/scripts/forwardback01.sh'
20190921_111917_037	MOTOR_FORWARD_BACK	-10	1000
20190921_111917_537	MOTOR_LEFT_RIGHT	-16	500
20190921_111918_037	MOTOR_FORWARD_BACK	10	1000
20190921_111919_037	MOTOR_FORWARD_BACK	-10	1000
20190921_111919_537	MOTOR_LEFT_RIGHT	-16	500
20190921_111920_037	MOTOR_FORWARD_BACK	10	1000
20190921_111921_037	MOTOR_FORWARD_BACK	-10	1000
20190921_111921_537	MOTOR_LEFT_RIGHT	-16	500
20190921_111922_037	MOTOR_FORWARD_BACK	10	1000
20190921_111923_037	MOTOR_FORWARD_BACK	-10	1000
20190921_111923_537	MOTOR_LEFT_RIGHT	-16	500
20190921_111924_037	MOTOR_FORWARD_BACK	10	1000
20190921_111925_037	MOTOR_FORWARD_BACK	-10	1000
20190921_111925_537	MOTOR_LEFT_RIGHT	-16	500
20190921_111926_037	MOTOR_FORWARD_BACK	10	1000
20190921_111927_037	MOTOR_FORWARD_BACK	-10	1000
20190921_111927_537	MOTOR_LEFT_RIGHT	-16	500
20190921_111927_897	key=20 ( )
20190921_111928_037	MOTOR_FORWARD_BACK	10	1000
20190921_111929_037	MOTOR_FORWARD_BACK	-10	1000
20190921_111929_037	MOTOR_LEFT_RIGHT	16	500
20190921_111929_037	MOTOR_FORWARD_BACK	10	1000
20190921_111931_037	MOTOR_FORWARD_BACK	-10	1000
20190921_111931_537	MOTOR_LEFT_RIGHT	16	500
20190921_111932_037	MOTOR_FORWARD_BACK	10	1000
20190921_111935_037	MOTOR_FORWARD_BACK	-10	1000
20190921_111935_537	MOTOR_LEFT_RIGHT	16	500
20190921_111936_037	MOTOR_FORWARD_BACK	10	1000
20190921_111937_277	key=20 ( )
20190921_111939_037	MOTOR_FORWARD_BACK	-10	1000
20190921_111939_537	MOTOR_LEFT_RIGHT	16	500
20190921_111940_037	MOTOR_FORWARD_BACK	10	1000
