20190921_114000_754	Script filename: '/usr/src/Robot/Robots/Rover/scripts/forwardback01.sh'
20190921_114000_754	MOTOR_FORWARD_BACK	-10	1000
20190921_114001_253	MOTOR_LEFT_RIGHT	-16	500
20190921_114001_753	MOTOR_FORWARD_BACK	10	1000
20190921_114002_753	MOTOR_FORWARD_BACK	-10	1000
20190921_114003_253	MOTOR_LEFT_RIGHT	-16	500
20190921_114003_753	MOTOR_FORWARD_BACK	10	1000
20190921_114004_623	key=20 ( )
20190921_114004_763	MOTOR_FORWARD_BACK	-10	1000
20190921_114005_253	MOTOR_LEFT_RIGHT	16	500
20190921_114005_753	MOTOR_FORWARD_BACK	10	1000
20190921_114008_763	MOTOR_FORWARD_BACK	-10	1000
20190921_114009_253	MOTOR_LEFT_RIGHT	16	500
20190921_114009_753	MOTOR_FORWARD_BACK	10	1000
20190921_114012_763	MOTOR_FORWARD_BACK	-10	1000
20190921_114013_253	MOTOR_LEFT_RIGHT	16	500
20190921_114013_753	MOTOR_FORWARD_BACK	10	1000
20190921_114015_023	key=20 ( )
20190921_114016_763	MOTOR_FORWARD_BACK	-10	1000
20190921_114017_253	MOTOR_LEFT_RIGHT	16	500
20190921_114017_753	MOTOR_FORWARD_BACK	10	1000
