20190921_122652_904	Script filename: '/usr/src/Robot/Robots/Rover/scripts/forwardback01.sh'
20190921_122652_904	MOTOR_FORWARD_BACK	-10	1000
20190921_122653_404	MOTOR_LEFT_RIGHT	-16	500
20190921_122653_904	MOTOR_FORWARD_BACK	10	1000
20190921_122654_904	MOTOR_FORWARD_BACK	-10	1000
20190921_122655_404	MOTOR_LEFT_RIGHT	-16	500
20190921_122655_904	MOTOR_FORWARD_BACK	10	1000
20190921_122656_904	MOTOR_FORWARD_BACK	-10	1000
20190921_122657_404	MOTOR_LEFT_RIGHT	-16	500
20190921_122657_624	key=20 ( )
20190921_122657_904	MOTOR_FORWARD_BACK	10	1000
20190921_122658_914	MOTOR_FORWARD_BACK	-10	1000
20190921_122659_404	MOTOR_LEFT_RIGHT	16	500
20190921_122659_904	MOTOR_FORWARD_BACK	10	1000
20190921_122700_904	MOTOR_FORWARD_BACK	-10	1000
20190921_122701_394	MOTOR_LEFT_RIGHT	16	500
20190921_122701_524	key=20 ( )
20190921_122701_894	MOTOR_FORWARD_BACK	10	1000
