20190921_150010_948	Script filename: '/usr/src/Robot/Robots/Rover/scripts/forwardback01.sh'
20190921_150010_948	MOTOR_FORWARD_BACK	-10	1000
20190921_150011_448	MOTOR_LEFT_RIGHT	-16	500
20190921_150011_948	MOTOR_FORWARD_BACK	10	1000
20190921_150012_948	MOTOR_FORWARD_BACK	-10	1000
20190921_150013_448	MOTOR_LEFT_RIGHT	-16	500
20190921_150013_948	MOTOR_FORWARD_BACK	10	1000
20190921_150014_948	MOTOR_FORWARD_BACK	-10	1000
20190921_150015_298	key=20 ( )
20190921_150015_448	MOTOR_LEFT_RIGHT	-16	500
20190921_150015_948	MOTOR_FORWARD_BACK	10	1000
20190921_150016_958	MOTOR_FORWARD_BACK	-10	1000
20190921_150017_448	MOTOR_LEFT_RIGHT	16	500
20190921_150017_948	MOTOR_FORWARD_BACK	10	1000
20190921_150018_948	MOTOR_FORWARD_BACK	-10	1000
20190921_150019_438	MOTOR_LEFT_RIGHT	16	500
20190921_150019_938	MOTOR_FORWARD_BACK	10	1000
20190921_150020_938	MOTOR_FORWARD_BACK	-10	1000
20190921_150021_428	MOTOR_LEFT_RIGHT	16	500
20190921_150021_928	MOTOR_FORWARD_BACK	10	1000
20190921_150022_928	MOTOR_FORWARD_BACK	-10	1000
20190921_150023_418	MOTOR_LEFT_RIGHT	16	500
20190921_150023_778	key=20 ( )
20190921_150023_918	MOTOR_FORWARD_BACK	10	1000
