20190921_115305_907	Script filename: '/usr/src/Robot/Robots/Rover/scripts/forwardback01.sh'
20190921_115305_907	MOTOR_FORWARD_BACK	-10	1000
20190921_115306_407	MOTOR_LEFT_RIGHT	-16	500
20190921_115306_906	MOTOR_FORWARD_BACK	10	1000
20190921_115307_906	MOTOR_FORWARD_BACK	-10	1000
20190921_115308_406	MOTOR_LEFT_RIGHT	-16	500
20190921_115308_736	key=20 ( )
20190921_115308_906	MOTOR_FORWARD_BACK	10	1000
20190921_115309_917	MOTOR_FORWARD_BACK	-10	1000
20190921_115310_406	MOTOR_LEFT_RIGHT	16	500
20190921_115310_906	MOTOR_FORWARD_BACK	10	1000
20190921_115313_916	MOTOR_FORWARD_BACK	-10	1000
20190921_115314_406	MOTOR_LEFT_RIGHT	16	500
20190921_115314_606	key=20 ( )
20190921_115314_906	MOTOR_FORWARD_BACK	10	1000
