20190921_113419_810	Script filename: '/usr/src/Robot/Robots/Rover/scripts/forwardback01.sh'
20190921_113419_810	MOTOR_FORWARD_BACK	-10	1000
20190921_113420_309	MOTOR_LEFT_RIGHT	-16	500
20190921_113420_809	MOTOR_FORWARD_BACK	10	1000
20190921_113421_809	MOTOR_FORWARD_BACK	-10	1000
20190921_113422_309	MOTOR_LEFT_RIGHT	-16	500
20190921_113422_809	MOTOR_FORWARD_BACK	10	1000
20190921_113422_809	MOTOR_FORWARD_BACK	-10	1000
20190921_113423_309	MOTOR_LEFT_RIGHT	-16	500
20190921_113423_809	MOTOR_FORWARD_BACK	10	1000
20190921_113423_809	MOTOR_FORWARD_BACK	-10	1000
20190921_113424_309	MOTOR_LEFT_RIGHT	-16	500
20190921_113424_809	MOTOR_FORWARD_BACK	10	1000
20190921_113424_809	MOTOR_FORWARD_BACK	-10	1000
20190921_113425_309	MOTOR_LEFT_RIGHT	-16	500
20190921_113425_809	MOTOR_FORWARD_BACK	10	1000
20190921_113425_809	MOTOR_FORWARD_BACK	-10	1000
20190921_113426_099	key=20 ( )
20190921_113426_309	MOTOR_LEFT_RIGHT	-16	500
20190921_113426_809	MOTOR_FORWARD_BACK	10	1000
20190921_113427_809	MOTOR_FORWARD_BACK	-10	1000
20190921_113428_309	MOTOR_LEFT_RIGHT	16	500
20190921_113428_809	MOTOR_FORWARD_BACK	10	1000
20190921_113430_809	MOTOR_FORWARD_BACK	-10	1000
20190921_113431_309	MOTOR_LEFT_RIGHT	16	500
20190921_113431_809	MOTOR_FORWARD_BACK	10	1000
20190921_113433_639	key=20 ( )
20190921_113433_809	MOTOR_FORWARD_BACK	-10	1000
20190921_113434_309	MOTOR_LEFT_RIGHT	16	500
