20191205_204343_095	Script filename: '/usr/src/Robot/Robots/Rover/scripts/forwardback01.sh'
20191205_204343_095	MOTOR_FORWARD_BACK	-10	1000
20191205_204343_595	MOTOR_LEFT_RIGHT	-16	500
20191205_204344_095	MOTOR_FORWARD_BACK	10	1000
20191205_204345_095	MOTOR_FORWARD_BACK	-10	1000
20191205_204345_595	MOTOR_LEFT_RIGHT	-16	500
20191205_204346_095	MOTOR_FORWARD_BACK	10	1000
20191205_204347_095	MOTOR_FORWARD_BACK	-10	1000
20191205_204347_255	key=20 ( )
20191205_204347_595	MOTOR_LEFT_RIGHT	-16	500
20191205_204348_095	MOTOR_FORWARD_BACK	10	1000
20191205_204348_675	key=20 ( )
20191205_204349_105	MOTOR_FORWARD_BACK	-10	1000
20191205_204349_595	MOTOR_LEFT_RIGHT	16	500
20191205_204350_095	MOTOR_FORWARD_BACK	10	1000
20191205_204351_065	key=20 ( )
