20190921_114454_543	Script filename: '/usr/src/Robot/Robots/Rover/scripts/forwardback01.sh'
20190921_114454_544	MOTOR_FORWARD_BACK	-10	1000
20190921_114455_043	MOTOR_LEFT_RIGHT	-16	500
20190921_114455_543	MOTOR_FORWARD_BACK	10	1000
20190921_114456_543	MOTOR_FORWARD_BACK	-10	1000
20190921_114457_043	MOTOR_LEFT_RIGHT	-16	500
20190921_114457_543	MOTOR_FORWARD_BACK	10	1000
20190921_114457_933	key=20 ( )
20190921_114458_553	MOTOR_FORWARD_BACK	-10	1000
20190921_114459_043	MOTOR_LEFT_RIGHT	16	500
20190921_114459_543	MOTOR_FORWARD_BACK	10	1000
20190921_114502_553	MOTOR_FORWARD_BACK	-10	1000
20190921_114503_043	MOTOR_LEFT_RIGHT	16	500
20190921_114503_543	MOTOR_FORWARD_BACK	10	1000
20190921_114506_553	MOTOR_FORWARD_BACK	-10	1000
20190921_114507_043	MOTOR_LEFT_RIGHT	16	500
20190921_114507_543	MOTOR_FORWARD_BACK	10	1000
20190921_114507_673	key=20 ( )
